waveform	[0]	[1]
t0	2/27/2024  16:34:33.202946	2/27/2024  16:34:33.202946
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:34:33.202946	6.384529E-1	3.026730E+0
2/27/2024  16:34:33.203146	6.776153E-1	3.027378E+0
2/27/2024  16:34:33.203346	5.897426E-1	3.025921E+0
2/27/2024  16:34:33.203546	6.238883E-1	3.025921E+0
2/27/2024  16:34:33.203746	6.522083E-1	3.027216E+0
2/27/2024  16:34:33.203946	6.988148E-1	3.027701E+0
2/27/2024  16:34:33.204146	5.899044E-1	3.027054E+0
2/27/2024  16:34:33.204346	6.107803E-1	3.025921E+0
2/27/2024  16:34:33.204546	6.298760E-1	3.026892E+0
2/27/2024  16:34:33.204746	6.442787E-1	3.027216E+0
2/27/2024  16:34:33.204946	6.606234E-1	3.031261E+0
2/27/2024  16:34:33.205146	6.891051E-1	3.029319E+0
2/27/2024  16:34:33.205346	5.298065E+0	3.025274E+0
2/27/2024  16:34:33.205546	6.284195E-1	3.028510E+0
2/27/2024  16:34:33.205746	6.664492E-1	3.025759E+0
2/27/2024  16:34:33.205946	5.298065E+0	2.967986E+0
2/27/2024  16:34:33.206146	6.049544E-1	3.028996E+0
2/27/2024  16:34:33.206346	6.365110E-1	3.028672E+0
2/27/2024  16:34:33.206546	6.732460E-1	3.027216E+0
2/27/2024  16:34:33.206746	7.331224E-1	3.029805E+0
2/27/2024  16:34:33.206946	5.298065E+0	3.039029E+0
2/27/2024  16:34:33.207146	5.890953E-1	3.028349E+0
2/27/2024  16:34:33.207346	6.033362E-1	3.029319E+0
2/27/2024  16:34:33.207546	6.185480E-1	3.029319E+0
2/27/2024  16:34:33.207746	6.298760E-1	3.029319E+0
2/27/2024  16:34:33.207946	6.399093E-1	3.029158E+0
2/27/2024  16:34:33.208146	6.507518E-1	3.029805E+0
2/27/2024  16:34:33.208346	6.654782E-1	3.026892E+0
2/27/2024  16:34:33.208546	6.876487E-1	3.029805E+0
2/27/2024  16:34:33.208746	5.298065E+0	2.988862E+0
2/27/2024  16:34:33.208946	5.900662E-1	3.029481E+0
2/27/2024  16:34:33.209146	6.054399E-1	3.029643E+0
2/27/2024  16:34:33.209346	6.238883E-1	3.029319E+0
2/27/2024  16:34:33.209546	6.394239E-1	3.029158E+0
2/27/2024  16:34:33.209746	6.573868E-1	3.031423E+0
2/27/2024  16:34:33.209946	6.847358E-1	3.030290E+0
2/27/2024  16:34:33.210146	5.298065E+0	3.019610E+0
2/27/2024  16:34:33.210346	6.075437E-1	3.028996E+0
2/27/2024  16:34:33.210546	6.345690E-1	3.029805E+0
2/27/2024  16:34:33.210746	6.679056E-1	3.029319E+0
2/27/2024  16:34:33.210946	9.345987E-1	3.030129E+0
2/27/2024  16:34:33.211146	6.297142E-1	3.031423E+0
2/27/2024  16:34:33.211346	6.714659E-1	3.031100E+0
2/27/2024  16:34:33.211546	5.298065E+0	3.025759E+0
2/27/2024  16:34:33.211746	6.094856E-1	3.032718E+0
2/27/2024  16:34:33.211946	6.357018E-1	3.032880E+0
2/27/2024  16:34:33.212146	6.649927E-1	3.029319E+0
2/27/2024  16:34:33.212346	5.298065E+0	2.980770E+0
2/27/2024  16:34:33.212546	6.107803E-1	3.031909E+0
2/27/2024  16:34:33.212746	6.416895E-1	3.032556E+0
2/27/2024  16:34:33.212946	6.813374E-1	3.033365E+0
2/27/2024  16:34:33.213146	1.794718E+0	3.032718E+0
2/27/2024  16:34:33.213346	6.166061E-1	3.032880E+0
2/27/2024  16:34:33.213546	6.400712E-1	3.032232E+0
2/27/2024  16:34:33.213746	6.685529E-1	3.029158E+0
2/27/2024  16:34:33.213946	8.061070E-1	3.033527E+0
2/27/2024  16:34:33.214146	5.890953E-1	3.030938E+0
2/27/2024  16:34:33.214346	6.145023E-1	3.031423E+0
2/27/2024  16:34:33.214546	6.313324E-1	3.030614E+0
2/27/2024  16:34:33.214746	6.457352E-1	3.030614E+0
2/27/2024  16:34:33.214946	6.632126E-1	3.030938E+0
2/27/2024  16:34:33.215146	6.882960E-1	3.031261E+0
2/27/2024  16:34:33.215346	5.298065E+0	3.047930E+0
2/27/2024  16:34:33.215546	5.902281E-1	3.028834E+0
2/27/2024  16:34:33.215746	6.031743E-1	3.029158E+0
2/27/2024  16:34:33.215946	6.230792E-1	3.029805E+0
2/27/2024  16:34:33.216146	6.334362E-1	3.028510E+0
2/27/2024  16:34:33.216346	6.446024E-1	3.028510E+0
2/27/2024  16:34:33.216546	6.564158E-1	3.028672E+0
2/27/2024  16:34:33.216746	6.700094E-1	3.026730E+0
2/27/2024  16:34:33.216946	6.903998E-1	3.028187E+0
2/27/2024  16:34:33.217146	5.298065E+0	2.969604E+0
2/27/2024  16:34:33.217346	5.921700E-1	3.025597E+0
2/27/2024  16:34:33.217546	6.138550E-1	3.027216E+0
2/27/2024  16:34:33.217746	6.253448E-1	3.025921E+0
2/27/2024  16:34:33.217946	6.423368E-1	3.026730E+0
